stock,volume
CIB,1200
CIE,110149
GASX,1043
SUWN,130702
CIG,196658
CIF,7355
CII,29603
TJX,184016
CIK,19087
CIM,370057
TKOMY,1609
TEU.PR.C,148
IXYS,3520
CIS,620
CIR,2124
TKC,175069
GRST,17000
CIU,7585
TKF,5701
CIT,24547
BAMXY,645
CIX,438
CRZBY,3623
IGXT,8130
GARS,631
BCEI,5870
TKR,34514
MTEX,600
EBODF,170
PLOW,1403
FOSL,25876
RATE,10881
OILT,115
PLPC,147
OILZ,24
GRVY,1560
TLF,548
TLI,3541
RYCEF,2200
TLH,1814
TLK,4817
PLPE,113662
TLM,133573
TLL,875
MCGC,13887
TLO,1366
TLP,530
TLR,225
PLPM,4572
TLT,195815
GASZ,15003
MTGE,26157
CKH,528
MCET,19110
PLNR,14900
MCEP,694
FORM,3176
ELON,12100
FORR,676
CKP,3707
ELOS,10966
TMF,800
MCQPF,1
TMH,7851
TMK,10219
ANZFF,75
TMP,674
LQDT,10323
TMO,121653
CLB,2517
CLD,3686
CLC,3683
TMV,14075
CLF,320832
CLH,10922
LVNSF,22590
RAVN,1544
CLI,48533
MCHX,34154
SDYL,1052
RAVI,200
CLM,14270
TNA,631443
FOUR,5000
TNC,1327
CLR,49750
KNDI,227291
CLS,2200
CLV,1513
CLX,48969
ZINC,31962
CLW,894
TNH,914
MCIG,733343
TNK,14003
CLY,1119
CMA,43722
TNP,6503
CMC,21010
ELSE,400
CME,1263960
LUKOY,1828
CMD,200
XCHO,2500
BFLBY,1757
CMG,6517
VNDA,76923
CMF,298
CMI,36998
CMK,103
NWLI,11
CMO,32991
CMN,1717
LVNTA,12881
CMP,2758
CMS,77617
CMU,16980
TOF,100
CMT,1555
OZON,1000
TOL,84542
TOK,800
VNCE,4381
MCHI,24021
NONOF,82
TOO,8074
CNA,2058
ELRC,842
TOT,74593
CNC,12806
MCHP,57857
DIOD,1721
CNI,28551
CNL,5957
CNK,17194
OZRK,2400
MTLK,1925
ELTP,42300
CNP,45396
CNO,26874
CNR,500
TPC,15554
CNQ,148613
CFNB,10
FNB.PR.E,25
BCS.PR,715
CNS,2287
TPI,1100
CNX,85724
CNW,7674
TPH,5697
VNET,20209
CNY,45
PLTM,2
TPL,427
AGUNF,12000
FOXA,1332333
TPS,200
FOXF,1133
COB,543
COG,178592
COF,201021
XTLB,732
ZIPR,76
ANZBY,15685
DIRI,500
TPX,9241
COH,432165
TPZ,871
NFLX,101858
GRYO,900
COL,33212
BCLI,106920
COO,12316
ZION,75148
COP,199932
UGNEQ,403700
COR,2713
LBTYA,120734
ELST,15000
COT,7710
LBTYB,2100
COW,700
COV,41863
NBHGY,100
PLSB,5283
CPB,43417
CPA,8626
CPF,1809
GRZG,6300
CPE,23518
ZIOP,39891
CPL,12089
LBTYK,111205
ELTK,1690
CFNL,7316
CJREF,344
CPK,264
CPN,49925
TRC,2293
CPT,31581
MAKSY,2641
TRF,1050
TRI,29152
TRK,411
JMPLY,120
TRN,49754
TRQ,188987
TRP,27697
TRS,5660
CQB,9477
GQMNF,9985
TRR,143
TRW,14924
DPMLF,100
TRV,63090
TRX,6006
CQH,22566
TBDYF,333
CQP,5207
TSC,26
TSH,100
PLUG,5917160
TSI,7165
TSL,228118
TSN,59477
TSM,263446
TSO,115625
TST,124
NWPX,2808
TSS,31191
CRF,19056
TSU,32235
SPCHB,68
CRH,9370
DISH,67439
CRI,6276
CRL,23789
CRK,52170
PLUS,527
CRM,234285
BCOM,574
TCB.PR.B,95
TTC,6742
CRR,10237
CRT,101
CRS,20676
CRV,286
TTF,617
TTI,15775
MGMCF,26000
CWST,983
SVBL,2530
CRY,15456
TTM,77380
SVBI,200
LQMT,91550
TTP,3838
SEAC,9320
CSC,29476
TTS,36549
PLXS,3531
CSE,7543
TTT,2972
CSD,18832
CSG,29638
CSI,3734
CSH,326
MCOX,38
CSJ,24205
CSM,435
PLXT,5413
CSL,23096
CSQ,37250
AABVF,13525
CSP,8835
CSS,2249
TUC,326
LVNVF,1000
CSU,2088
CST,16335
CSV,2150
CSX,185151
BCPC,3237
CWTR,2780
MTOR,24575
TUP,10202
TUR,94946
CTB,48692
NWSA,118276
CTF,4810
CTG,17344
BCOV,18516
TUZ,1639
CTL,628198
BCOR,26458
CTP,700
CTO,112
CTR,8343
ALBPP,1655
TVC,3702
CTQ,3147
TVE,1468
CTT,3218
CTS,9968
CTU,622
CTX,3201
MTRN,614
CTW,3920
AFRAF,250
HECO,1208
MTRX,1947
CTY,6084
GSBC,1372
CUB,3116
MTSC,6204
THFF,549
CUI,1322
CUK,30705
MTSI,45
GBAB,1815
CUR,15341
TWC,71307
YFRM,10000
SEAS,58760
NWTR,3142
CUT,13921
TWI,27549
ESPGY,12
BCRH,10274
CUZ,28785
TWN,1078
TWM,197362
